,Team,Sprint 0,Sprint 1,Sprint 2,Sprint 3,AI,EDU,VR_AR,TAL,TSP,TP.1,TP.2,TP.3,TC.1,TC.2,TC.3,TC.4,TC.5,TC.6,TC.7,TC.8,CC.1,CC.2,CC.3,PS.1,PS.2,PS.3,PS.4,PS.5,RD.1,RD.2,RD.3,RD.4,TE.1,TE.2,TE.3,TE.4,TE.5,TE.6,TE.7,TV
0,14,1,0,0,0,1,0,0,1.0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,99.0
1,4,1,0,0,0,0,1,0,1.0,30,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,93.0
2,13,1,0,0,0,0,1,0,0.6666666666666666,30,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,94.0
3,8,1,0,0,0,0,0,1,0.6666666666666666,30,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0
4,2,1,0,0,0,0,0,1,0.5,30,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0
5,5,1,0,0,0,0,0,1,1.0,25,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,92.0
6,9,1,0,0,0,0,1,0,0.8333333333333334,29,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95.0
7,11,1,0,0,0,0,1,0,1.6666666666666667,24,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,66.0
8,6,1,0,0,0,0,1,0,1.6666666666666667,30,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85.0
9,12,1,0,0,0,1,0,0,0.4,30,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,84.0
10,1,1,0,0,0,1,0,0,1.1666666666666667,30,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0
11,7,1,0,0,0,0,0,1,0.3333333333333333,24,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,84.0
12,15,1,0,0,0,1,0,0,0.75,24,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
13,10,1,0,0,0,1,0,0,0.6,30,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0
14,3,1,0,0,0,0,0,1,1.0,30,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,93.0
15,14,0,1,0,0,1,0,0,1.0,60,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,100.0
16,4,0,1,0,0,0,1,0,1.0,60,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,99.0
17,13,0,1,0,0,0,1,0,0.6666666666666666,61,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0
18,8,0,1,0,0,0,0,1,0.6666666666666666,60,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
19,2,0,1,0,0,0,0,1,0.5,59,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0
20,5,0,1,0,0,0,0,1,1.0,50,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99.0
21,9,0,1,0,0,0,1,0,0.8333333333333334,61,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,96.0
22,11,0,1,0,0,0,1,0,1.6666666666666667,51,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0
23,6,0,1,0,0,0,1,0,1.6666666666666667,60,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95.0
24,12,0,1,0,0,1,0,0,0.4,60,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,91.0
